TrisCalDate,TTris,mVTris,HOBO_Orion
20230727,23.092,-83,Orion
20230727,22.029,-84.1,Orion
20230727,21.08,-85.4,Orion
20230727,19.595,-86.3,Orion
20230727,18.813,-87.9,Orion
20230727,17.768,-89.7,Orion
20230727,16.154,-90.9,Orion
20230810,23.1,-86.2,Orion
20230810,22.1,-87.1,Orion
20230810,21,-88.3,Orion
20230810,20,-90.5,Orion
20230810,18.9,-91.6,Orion
20230810,17.6,-93.1,Orion
20230810,16.9,-93.9,Orion
20230810,16.1,-95.2,Orion
20231019,23.724,-89.3,Orion
20231019,22.823,-89.7,Orion
20231019,21.722,-91.1,Orion
20231019,20.644,-92.6,Orion
20231019,19.686,-94,Orion
20231019,18.739,-95.4,Orion
20231019,17.726,-96.7,Orion
20231019,16.71,-98.2,Orion
20231019,15.719,-99.7,Orion
20231019,14.742,-100.9,Orion
20231019,13.717,-102.5,Orion
20231023,23.731,-88.8,Orion
20231023,22.825,-89.6,Orion
20231023,21.789,-90.1,Orion
20231023,20.559,-92.6,Orion
20231023,20.132,-93.4,Orion
20231024,23.856,-88.1,Orion
20231024,23.073,-89.3,Orion
20231024,22.119,-90.4,Orion
20231024,20.966,-91.9,Orion
20231024,20.023,-93.4,Orion
20231024,19.037,-94.8,Orion
20231024,17.954,-96.1,Orion
20231024,17,-97.5,Orion
20231024,16.039,-98.9,Orion
20231024,15.015,-100.3,Orion
20231024,14.174,-101.4,Orion
20231024,13.095,-103.1,Orion
20231027,20.412,-92.7,Orion
20231027,19.173,-94.9,Orion
20231027,18.004,-97,Orion
20231027,16.893,-98.9,Orion
20231027,15.807,-100.7,Orion
20231027,14.758,-102.4,Orion
20231027,13.615,-104.3,Orion
20231029,21.532,-90.8,Orion
20231029,19.997,-94.3,Orion
20231029,17.963,-98,Orion
20231029,16.939,-99.3,Orion
20231029,15.931,-101.9,Orion
20231029,14.81,-102.9,Orion
20231029,13.824,-104.5,Orion
