Site,UniqueID,Benthos,Quad_ID,ID_number,Day_Night,Sampling_Date,Sampling_Time,Processing_DateTime,TempInLab,mV,Salinity,TempInSitu,TA,TrisCalDate,Salinity_Calibration_Date,Salinity_Lab,Salinity_Lab_Date,NO3,PO4,SIL,NO2,NH4,Notes
Long Beach,B1_Day,Barnacle,B1,1,Day,7/31/2023,9:57,8/1/2023 9:00,21.33,-76.8,32.84,21.23,2219.670036,20230727,7/31/2023,33.53,10/24/2023,8.98,0.51,3.9,0.16,4.52,
Long Beach,B3_Day,Barnacle,B3,3,Day,7/31/2023,9:57,8/1/2023 9:00,21.23,-77.8,32.92,20.98,2212.142877,20230727,7/31/2023,33.67,10/24/2023,4.21,0.36,7.5,0.13,3.36,
Long Beach,B5_Day,Barnacle,B5,5,Day,7/31/2023,9:57,8/1/2023 9:00,21.03,-76.6,32.5,20.63,2193.856043,20230727,7/31/2023,33.69,10/24/2023,0.74,0.31,4.5,0.12,1.58,
Long Beach,M5_Day,Mussel,M5,5,Day,7/31/2023,9:57,8/1/2023 9:00,NA,NA,32.95,21.02,NA,20230727,7/31/2023,NA,10/24/2023,NA,NA,NA,NA,NA,NO pH or TA sample
Long Beach,OO_Day1,Open Ocean,OO1,1,Day,7/31/2023,9:57,8/1/2023 9:00,21.073,-74.2,32.52,20.68,2222.332885,20230727,7/31/2023,33.54,10/24/2023,0.62,0.32,7,0.08,0.7,
Long Beach,RW1_Day,Rockweed,RW1,1,Day,7/31/2023,9:57,7/31/2023 16:00,11.775,-78.7,32.3,20.72,2221.371946,20230727,7/31/2023,33.41,10/24/2023,1.33,0.41,6.4,0.17,6.63,
Long Beach,RW3_Day,Rockweed,RW3,3,Day,7/31/2023,9:57,7/31/2023 16:00,15.703,-76.5,33.05,20.72,2171.436726,20230727,7/31/2023,33.64,10/24/2023,0.49,0.4,5,0.15,2.01,
Long Beach,RW5_Day,Rockweed,RW5,5,Day,7/31/2023,9:57,7/31/2023 16:00,12.019,-77.5,32.44,20.72,2237.979527,20230727,7/31/2023,33.24,10/24/2023,1.38,0.41,7.2,0.27,11.2,
Long Beach,P1_Day,Surfgrass,P1,1,Day,7/31/2023,9:57,8/1/2023 9:00,20.825,-72.3,32.51,20.68,2178.925258,20230727,7/31/2023,33.71,10/24/2023,1.11,0.39,5.4,0.19,1.68,
Long Beach,P5_Day,Surfgrass,P5,5,Day,7/31/2023,9:57,8/1/2023 9:00,20.95,-70,32.54,20.37,NA,20230727,7/31/2023,NA,10/24/2023,NA,NA,NA,NA,NA,Bag ripped. No TA. This pH might be contaminated too
Long Beach,B1_Night,Barnacle,B1,1,Night,8/1/2023,21:33,8/2/2023 9:00,20.55,-77.4,32.45,19.65,2178.892963,20230727,8/2/2023,33.63,10/24/2023,1.48,0.5,6.3,0.11,1.36,
